Country,Rating,Date,Version,Username,Title,Content
US,1,2025-02-24,1.1.2,Theluckyjuan_1,They keep taking down my review.,Only for Pay 2 Play.
US,5,2025-02-24,1.1.2,I Play TCG Pocket EVERY DAY,This game is really fun and addictive!,This game got me really into the Pokémon TCG and made opening packs more accessible to me and you should download it. (Also check out Pokémon go)
US,3,2025-02-24,1.1.2,Rico Swahvay,Really Random? Please…,"Fun game when you play all solo levels until you get to the expert level. Your Programming intentionally waits to draw all needed cards toward the end of the deck when I need them. I understand needing to raise the difficulty, but keep the player’s deck actually random, and you can continue to manipulate the opponents deck for it to reach their evolutions right away as usual 😂. I should really give this game 2 stars, but I like pokemon. Furthermore, the autoplay feature will purposely avoid making the obvious move for us to cause us to basically lose a turn, for example: attaching a much-needed energy to a bench pokemon instead of the active, which would fill the required amount of energy needed to make an attack. Again, I understand raising difficulty, but come on get real! How about this: stacking our hand with nothing but duplicate stage 2 pokemon, and one basic to start? There are no odds where that should be happening. Before you assume my decks, they are well-balanced and strategic. But what good is strategy if your algorithm constantly sabotages? Do you want return users or not?"
US,5,2025-02-24,1.1.2,Ice104621,One of those special games,Such a great game love the idea that you can get cards digitally and trade with your friends and other people battle with them it’s just overall such a great game many of my friends playlist and so do I expecting lots of updates to great game
US,5,2025-02-24,1.1.2,Conner. It’s my real name,Fun,Fun fun fun fun fun fun 🤪🤪😵‍💫😵‍💫
US,2,2025-02-24,1.1.2,Dude weather,Pay to play,"The game is fun but there’s no point in playing if you don’t want to spend money, pull rates on getting good cards are about 1 and 100 packs unless you pay… there also needs to be skill based matchmaking, based on deck build and skill level. It’s not fair to constantly get matched with people that buy the best cards."
US,1,2025-02-24,1.1.2,fckubiches,They delete bad reviews,1-15 in pvp is clear that it’s staged. Cards are broken and u won’t update them. Ur development only cares for money for a small basic game. Crack ain’t cheap
US,1,2025-02-24,1.1.2,YOSavageryLO,This game is absolutely garbage!,"Thanks developers for stealing a rainbow card from my wonderpicks for the fourth time now making me waste over 200 over your worthless hour glasses! Seriously thanks so much, also maybe considering fixing your useless trading system that’d be great."
US,1,2025-02-24,1.1.2,WhiteBoyRodman,Where to start..,"Loved this game for the first 3-5 days; didn’t realize that the odds were temporarily a lot higher for EVERYTHING for the first 3 days, until I experienced the next 30-60. It’s been that long since I pulled an EX from a wonder pick, or a showcase card for any deck. I’ve won a TON of battle, but with 12 and 14 coin flips, I get ALL TAILS more often than any other outcome. Lol 0/12 repeatedly in one match isn’t real AT ALL. Odds are fake and stacked in favor of getting u into the game, then never again. Canceling that premium subscription ASAP. 140+ wonder picks with not one EX isn’t just me or bad luck. lol they just show u whatever card they want y to have regardless of what card u pick. Fakest odds I’ve seen since MyTeam in NBA 2K this game must be owned by Take Two Interactive like all other trash odds games."
US,1,2025-02-24,1.1.2,jydcjiudcj,Abilities,"You should not be able to use a Pokémon’s ability more than once per turn. For example, an opponent should not be able to place a Palkia down and then use Vaporeon’s ‘wash out’ ability 4 times in one turn to generate 4 energy."
US,5,2025-02-24,1.1.2,emd m&m,I LOVE THIS APP,It is so fun and I love collecting all different types and types of Pokémon it is so cool 5 stars
US,3,2025-02-24,1.1.2,Aurelienthelion,"Has the potential to be a great card game, but..","It’s a good game; it has so much potential to be the best card game on the App Store, however there are some pretty major flaws.

1. The “events” are really just the same things over and over. They’re not adding anything new, just recycling the same thing, with slightly different “rewards” every time. It makes the game seem very stale after a few months playing. 
2. Corporate greed. It’s not a rewarding game at all. There are no free stuff that the devs periodically give to players, like 99.99% of other free games on the App Store do. Didn’t do anything for Christmas, nada. You don’t really get anything besides the extremely limited free resources from missions and events. You get 2 packs a day and that’s it. 
3. The trading system. It really only benefits people who have multiple accounts and want to trade between those accounts. Why not make it so that we can offer a card, list what we want to exchange it for, and whoever wants to accept the deal, whether on your friends list or not, can accept? Even a global mystery trade option would be really cool, and definitely feasible for you guys. But right now, the trading system is completely useless if you have only one account, or if you don’t have friends who play the game. 

I don’t know if the devs are just lazy, or if they just don’t really care about the game’s longevity because they’re making so much money right now, but as of lately, the game just seems like a scheme to make a quick buck off players, without ever adding anything new or trying to make the game better."
