Country,Rating,Date,Version,Username,Title,Content,Combined,Sentiment
US,3,2025-01-10,1.0.9,Text grant,Decent game,"It could definitely use trading. The solo missions resetting would also help. Also certain types really need some help. Electric, fighting, metal, and dark could all use extra cards to help them become relevant.","Decent gameIt could definitely use trading. The solo missions resetting would also help. Also certain types really need some help. Electric, fighting, metal, and dark could all use extra cards to help them become relevant.",Positive
US,1,2025-01-10,1.0.9,KGenuineReviews,Depressing Pokémon Game,"I love Pokémon and I have played this game every day for over 3 months. I can’t get the most desired card of my wishlist. It’s only a 2-star card, but one that should exemplify the best qualities of this game with beautiful art. There has been nothing I can do to get it. The game and its developers are content to let you flail away with no opportunity to get what you want. This game leads to hurt and pain when you spend time and money on it. I’m not special, there’s millions of other people in my shoes. Let that inform you in your choice to play.","Depressing Pokémon GameI love Pokémon and I have played this game every day for over 3 months. I can’t get the most desired card of my wishlist. It’s only a 2-star card, but one that should exemplify the best qualities of this game with beautiful art. There has been nothing I can do to get it. The game and its developers are content to let you flail away with no opportunity to get what you want. This game leads to hurt and pain when you spend time and money on it. I’m not special, there’s millions of other people in my shoes. Let that inform you in your choice to play.",Neutral
US,5,2025-01-10,1.0.9,Chicken nugget dude 02,Guy,I like turtles,GuyI like turtles,Positive
US,5,2025-01-10,1.0.9,TonyEcho98,Love it!,Amazing game!,Love it!Amazing game!,Positive
US,3,2025-01-10,1.0.9,kilynn preson,trade,trade,tradetrade,Neutral
US,4,2025-01-10,1.0.9,Biggcrow93,Balance celebi,Mew two has died down but celebi is so much worse. Everything else is fine,Balance celebiMew two has died down but celebi is so much worse. Everything else is fine,Negative
US,1,2025-01-10,1.0.9,Eadzgh,Would give zero stars but not an option,"You need micro transactions to even play the game if not you’ll get one shot for 600 damage, worst pokemon game I’ve had the misfortune of playing. The best part of the game is the cards you collect but if you want any actual good ones for battling you need to sell your house and soul. Not worth your time","Would give zero stars but not an optionYou need micro transactions to even play the game if not you’ll get one shot for 600 damage, worst pokemon game I’ve had the misfortune of playing. The best part of the game is the cards you collect but if you want any actual good ones for battling you need to sell your house and soul. Not worth your time",Negative
US,1,2025-01-10,1.0.9,scornismid,Stop deleting my reviews,"This game is predatory and EXTREMELY PAY TO WIN. Don’t expect any support. Good new is if their stupid 2 week trial bites you, you can just refund through Apple. 

You devs and execs should be sick with how you take advantage of people. Disgusting degenerates.

These devs are so awful. Why is it that wonder picks only let you choose one? Not much wonder in getting the same picks over and over because of bad RNG and money grubbing devs.","Stop deleting my reviewsThis game is predatory and EXTREMELY PAY TO WIN. Don’t expect any support. Good new is if their stupid 2 week trial bites you, you can just refund through Apple. 

You devs and execs should be sick with how you take advantage of people. Disgusting degenerates.

These devs are so awful. Why is it that wonder picks only let you choose one? Not much wonder in getting the same picks over and over because of bad RNG and money grubbing devs.",Negative
US,5,2025-01-10,1.0.9,Kelley hehdjfjfjfbdjd,So good,It was so good seeing it it was so relaxing,So goodIt was so good seeing it it was so relaxing,Positive
US,5,2025-01-10,1.0.9,Fun girl ~❤️~,BEST GAME EVER,I LOVE IT MORE THEN ROBLOX AND I LOVE ROBLOX,BEST GAME EVERI LOVE IT MORE THEN ROBLOX AND I LOVE ROBLOX,Positive
US,5,2025-01-10,1.0.9,TwentV,Great Game -Nostalgic,"Great game, not paid to win. 

Please decrease turn time limits by at least half. Please also decrease the limit given to players who left the app during battle. Many players grief when they know the battle is lost, they’ll just open another app and force me to wait almost two minutes to finish the game.","Great Game -NostalgicGreat game, not paid to win. 

Please decrease turn time limits by at least half. Please also decrease the limit given to players who left the app during battle. Many players grief when they know the battle is lost, they’ll just open another app and force me to wait almost two minutes to finish the game.",Negative
US,4,2025-01-10,1.0.9,reeeeeeeeeeeeeeeeeeeeeeeeet,Missing one single feature,"I absolutely am obsessed with this game I find it super fun, however, I would love to be able to view my card collection similar to how its shown after opening a pack to see what I&#39;m missing and whatnot it would be nice. That&#39;s all awesome game!","Missing one single featureI absolutely am obsessed with this game I find it super fun, however, I would love to be able to view my card collection similar to how its shown after opening a pack to see what I&#39;m missing and whatnot it would be nice. That&#39;s all awesome game!",Positive
US,5,2025-01-10,1.0.9,Onikozo,"Love it but, too many 🧀🧀🧀🧀🧀","I must say I’m honestly a little addicted to playing this game atp it really brings me back to old tcb days in elementary school, but I just have one issue, I think you should limit the amount of ex cards in deck use to just 1 card per deck, people are cheesing Celebi like crazy! with 2 or 3 in their deck, folks will have stacked ex cards that cannot be countered easily… I’d say either limit them to one or at least add emoji chats with one of them being a (🧀) please 🙏🏾","Love it but, too many 🧀🧀🧀🧀🧀I must say I’m honestly a little addicted to playing this game atp it really brings me back to old tcb days in elementary school, but I just have one issue, I think you should limit the amount of ex cards in deck use to just 1 card per deck, people are cheesing Celebi like crazy! with 2 or 3 in their deck, folks will have stacked ex cards that cannot be countered easily… I’d say either limit them to one or at least add emoji chats with one of them being a (🧀) please 🙏🏾",Neutral
US,5,2025-01-10,1.0.9,raqaza fan,Great game,I love how there are no adds and the pack loot isn’t luck based but how straight you cut it,Great gameI love how there are no adds and the pack loot isn’t luck based but how straight you cut it,Positive
US,1,2025-01-10,1.0.9,joeyyugioh,Fun but needs work,"The card collecting aspect is incredible! It’s very fun to be able to open packs of cards without breaking the bank. The idea of the app is great too, since I’ve never gotten into the gameplay aspect of Pokemon cards but it encourages playing. However, the online play needs a LOT of balancing. Everyone is using the same Mewtwo deck. If everyone aligns on the same deck that means it doesn’t have a competitive counter.

Update: They added more cards which diversified the gameplay and are making more events to keep everything fresh which are improvements. However, you can definitely tell that pulls are predetermined as you will get increased rare cards when you first join or if you come back after a long break. However, pulls stagnate and it has now been revealed that it could take up to 2 years to pull all the cards in the first set if you don’t pay any money. This is bad bc it has a direct impact on the cards you can use to duel, aka it’s pay to win.  Then there’s little quirks like promo packs allegedly being a random choice but I get the same card 5 times in a row. Or the auto AI throwing matches when it is poised to win. Honestly, if you don’t mind how fixed everything is then you might enjoy it. Personally, I think it’s a waste of time.","Fun but needs workThe card collecting aspect is incredible! It’s very fun to be able to open packs of cards without breaking the bank. The idea of the app is great too, since I’ve never gotten into the gameplay aspect of Pokemon cards but it encourages playing. However, the online play needs a LOT of balancing. Everyone is using the same Mewtwo deck. If everyone aligns on the same deck that means it doesn’t have a competitive counter.

Update: They added more cards which diversified the gameplay and are making more events to keep everything fresh which are improvements. However, you can definitely tell that pulls are predetermined as you will get increased rare cards when you first join or if you come back after a long break. However, pulls stagnate and it has now been revealed that it could take up to 2 years to pull all the cards in the first set if you don’t pay any money. This is bad bc it has a direct impact on the cards you can use to duel, aka it’s pay to win.  Then there’s little quirks like promo packs allegedly being a random choice but I get the same card 5 times in a row. Or the auto AI throwing matches when it is poised to win. Honestly, if you don’t mind how fixed everything is then you might enjoy it. Personally, I think it’s a waste of time.",Positive
US,3,2025-01-10,1.0.9,Anonymous 90000000,"It’s excellent, but…","This game is excellent.  I haven’t played the physical TCG but I thoroughly enjoyed playing TCG on the Game Boy Color, which from what I understand is essentially an exact translation of the physical TCG onto the game boy, so this is my understanding of the TCG that I will be using to praise and critique TCG pocket.  

Things I love:
• The reworked energy system is awesome.  No more hoping you happen to pull an energy card from your deck, no more budgeting how many energies Vs trainers and Pokémon, no more concerns about running out of energy in long matches.  
• The constant events are really fun, and give plenty to do when you log in to collect your daily packs.  
• No major pay-to-win advantage.  While players who pay to open more packs will obviously have quicker access to more and often stronger cards, free-to-plays still get plenty of packs, hourglasses, and events to keep them on par with pay-to-plays.  Pokémon mobile games have always been pretty good on this, and TCGP is no exception.  

Things I’m mixed on:
• The deck size being 20 is both good and bad in my opinion.  It makes deckbuilding much similar and usually makes finding the cards you need easier, but it can be very limiting.  It’s not something I’d suggest be changed, but maybe have an option to play longer games with 4-6 points with 30-40 card decks, and keep the faster-paced 20 card decks as its own mode.  
• Only being able to bring two of each Pokémon/Trainer card as opposed to four is somewhat annoying, but understandable.  For twenty-card decks it’s fine, but if a larger-deck mode is ever implemented, this limit should be raised for larger decks.  I also don’t think it would be game-breaking for smaller decks, but I’m no expert on game balance.  

Things I hate:
• Not getting any energy on turn 1 when going first is devastating.  There are so many games that I have lost simply because of that energy disadvantage, and so many others I won because I had an energy advantage.  It’s so punishing that I often concede if I go first unless my hand is so good that I can work around it.  I imagine this was done to mitigate the first strike advantage that the player who goes first would have, but instead of resolving the problem it just gives an even bigger advantage to the person going second.  Why is the advantage bigger going second?  Because going second you can react to what your opponent is doing more effectively and better predict their moves.","It’s excellent, but…This game is excellent.  I haven’t played the physical TCG but I thoroughly enjoyed playing TCG on the Game Boy Color, which from what I understand is essentially an exact translation of the physical TCG onto the game boy, so this is my understanding of the TCG that I will be using to praise and critique TCG pocket.  

Things I love:
• The reworked energy system is awesome.  No more hoping you happen to pull an energy card from your deck, no more budgeting how many energies Vs trainers and Pokémon, no more concerns about running out of energy in long matches.  
• The constant events are really fun, and give plenty to do when you log in to collect your daily packs.  
• No major pay-to-win advantage.  While players who pay to open more packs will obviously have quicker access to more and often stronger cards, free-to-plays still get plenty of packs, hourglasses, and events to keep them on par with pay-to-plays.  Pokémon mobile games have always been pretty good on this, and TCGP is no exception.  

Things I’m mixed on:
• The deck size being 20 is both good and bad in my opinion.  It makes deckbuilding much similar and usually makes finding the cards you need easier, but it can be very limiting.  It’s not something I’d suggest be changed, but maybe have an option to play longer games with 4-6 points with 30-40 card decks, and keep the faster-paced 20 card decks as its own mode.  
• Only being able to bring two of each Pokémon/Trainer card as opposed to four is somewhat annoying, but understandable.  For twenty-card decks it’s fine, but if a larger-deck mode is ever implemented, this limit should be raised for larger decks.  I also don’t think it would be game-breaking for smaller decks, but I’m no expert on game balance.  

Things I hate:
• Not getting any energy on turn 1 when going first is devastating.  There are so many games that I have lost simply because of that energy disadvantage, and so many others I won because I had an energy advantage.  It’s so punishing that I often concede if I go first unless my hand is so good that I can work around it.  I imagine this was done to mitigate the first strike advantage that the player who goes first would have, but instead of resolving the problem it just gives an even bigger advantage to the person going second.  Why is the advantage bigger going second?  Because going second you can react to what your opponent is doing more effectively and better predict their moves.",Positive
US,2,2025-01-10,1.0.9,But rack Jackson,Need better variety and power distribution,"darkness and steel have just been cast aside. I think this game has potential, but right now the cards are not varied enough to be creative making decks. some cards that are cool and would offer variety are just objectively bad and will get steamrolled by meta decks. 

hence you see the dame decks over and over again. Also dual type decks are completely awful and should be more viable","Need better variety and power distributiondarkness and steel have just been cast aside. I think this game has potential, but right now the cards are not varied enough to be creative making decks. some cards that are cool and would offer variety are just objectively bad and will get steamrolled by meta decks. 

hence you see the dame decks over and over again. Also dual type decks are completely awful and should be more viable",Negative
US,3,2025-01-10,1.0.9,b33p3rs,Why is it so hard to exit?,I feel like I need to swipe 3 times to exit this app…,Why is it so hard to exit?I feel like I need to swipe 3 times to exit this app…,Negative
US,1,2025-01-10,1.0.9,SweatIRL,DON’T SPEND YOUR MONEY,"I spent literally $700+ on this game for the first set and mini set and pulled 0 crown rare (highest rarity in the game at this point) as well as I couldn’t finish any of the sets, I don’t even have the three legendary bird achievements. Something is definitely wrong with the pull rates because you will get 100 duplicates of cards you have and 0 of others. Ridiculous that I have obtained 6000 cards and haven’t achieved either goal.","DON’T SPEND YOUR MONEYI spent literally $700+ on this game for the first set and mini set and pulled 0 crown rare (highest rarity in the game at this point) as well as I couldn’t finish any of the sets, I don’t even have the three legendary bird achievements. Something is definitely wrong with the pull rates because you will get 100 duplicates of cards you have and 0 of others. Ridiculous that I have obtained 6000 cards and haven’t achieved either goal.",Negative
